Count
125
140
239
3
147
2
3
3
2
145
2
38
9
4
102
12
3
14
14
1
2
1
1
6
1
4
4
31
70
51
88
46
12
125
107
84
1
65
9
50
9
10
3
4
10
17
27
25
65
2
8
30
3
2
22
20
11
4
5
124
21
155
194
257
108
6
30
33
23
190
164
282
325
29
552
135
99
16
202
71
60
147
123
362
152
79
52
97
1
17
1
48
36
4
345
10
17
21
3
89
165
3
517
446
28
148
24
13
88
131
67
40
108
1
128
12
808
809
490
1350
74
1
1
271
158
137
2
2
242
29
1
1
1591
98
801
347
2007
502
1
34
75
12
138
7
1013
115
542
1
256
214
1470
223
10
254
201
2
383
43
1
326
397
85
416
235
498
527
281
116
7
138
2
210
61
206
228
24
1
1
3
23
596
211
32
131
12
142
85
233
35
1109
982
694
402
225
92
100
90
6
1
26
209
10
38
273
166
13
5
52
555
897
7
137
5
22
56
40
269
407
1
46
121
202
51
401
200
562
74
305
1
152
116
11
96
344
41
347
383
208
21
29
20
4
176
105
8
40
50
165
99
131
223
26
81
98
338
265
215
141
254
38
56
97
26
73
158
39
182
101
77
23
319
39
25
99
365
85
373
138
183
1
105
125
46
1049
138
13
170
523
4
377
2
13
237
4
127
6
1
1
1
1
3
31
3
11
1
2
16
2
8
3
161
2
2
3
47
55
55
47
1
8
2
9
2
25
8
7
2
8
1
39
6
2
10
4
2
2
3
6
3
1
26
12
5
25
2
6
8
10
40
3
1
105
1
3
1
5
17
2
5
4
2
333
321
292
484
55
3
39
5
92
1
2
2
10
30
17
4
2
100
90
174
121
1
5
134
42
17
5
34
3
2
2
133
175
308
55
324
28
18
4
5
5
12
23
395
38
30
1
27
49
68
19
141
15
86
61
97
20
2
6
2
7
1
11
1
11
5
3
2
1
82
4
6
12
7
3
1
19
2
2
2
2
3
43
68
14
22
25
7
2
4
11
8
6
10
115
2
