ZipCode,EV Count,Charging Stations,Electric Vehicles to Charging Station Ratio
21638,59.0,4.0,15.0
20896,59.0,0.0,0.0
20712,56.0,1.0,56.0
20634,56.0,1.0,56.0
21663,56.0,5.0,11.0
20755,56.0,1.0,56.0
21057,56.0,0.0,0.0
21787,56.0,2.0,28.0
20685,55.0,0.0,0.0
21788,55.0,3.0,18.0
20860,54.0,0.0,0.0
21758,53.0,0.0,0.0
20722,52.0,5.0,10.0
21161,52.0,0.0,0.0
20711,51.0,0.0,0.0
20842,51.0,0.0,0.0
21776,50.0,1.0,50.0
21875,50.0,0.0,0.0
21532,50.0,5.0,10.0
20776,49.0,0.0,0.0
21154,48.0,0.0,0.0
20616,46.0,1.0,46.0
21216,43.0,1.0,43.0
21629,43.0,3.0,14.0
21791,43.0,0.0,0.0
20676,42.0,0.0,0.0
21084,41.0,0.0,0.0
21654,41.0,3.0,14.0
21226,39.0,5.0,8.0
20688,38.0,3.0,13.0
21783,38.0,2.0,19.0
21911,38.0,1.0,38.0
20714,37.0,1.0,37.0
21053,37.0,0.0,0.0
21658,37.0,2.0,18.0
21723,36.0,1.0,36.0
21153,35.0,1.0,35.0
21223,34.0,3.0,11.0
20778,34.0,0.0,0.0
21795,33.0,0.0,0.0
21205,33.0,7.0,5.0
21904,33.0,1.0,33.0
20764,33.0,0.0,0.0
21031,33.0,3.0,11.0
21017,32.0,0.0,0.0
20677,32.0,1.0,32.0
21028,30.0,0.0,0.0
21155,30.0,0.0,0.0
21777,29.0,2.0,14.0
21756,29.0,2.0,14.0
20733,29.0,0.0,0.0
20763,28.0,0.0,0.0
21727,27.0,1.0,27.0
20689,26.0,0.0,0.0
21813,26.0,0.0,0.0
21903,25.0,1.0,25.0
20751,25.0,0.0,0.0
21863,25.0,4.0,6.0
21550,25.0,3.0,8.0
20701,23.0,19.0,1.0
20622,22.0,1.0,22.0
20675,22.0,0.0,0.0
21655,21.0,0.0,0.0
21915,21.0,1.0,21.0
21851,21.0,2.0,10.0
21673,20.0,1.0,20.0
20762,20.0,0.0,0.0
21830,20.0,0.0,0.0
21919,19.0,0.0,0.0
20880,19.0,1.0,19.0
21798,19.0,0.0,0.0
20623,19.0,0.0,0.0
21034,19.0,4.0,5.0
21405,19.0,0.0,0.0
20779,18.0,0.0,0.0
21722,18.0,2.0,9.0
21782,17.0,1.0,17.0
21541,17.0,7.0,2.0
21132,17.0,0.0,0.0
20812,16.0,0.0,0.0
20862,16.0,0.0,0.0
20674,15.0,0.0,0.0
21625,15.0,0.0,0.0
20620,15.0,0.0,0.0
21917,15.0,0.0,0.0
21826,15.0,0.0,0.0
21643,14.0,2.0,7.0
21623,14.0,0.0,0.0
21661,14.0,0.0,0.0
21561,13.0,0.0,0.0
20690,13.0,0.0,0.0
21250,13.0,3.0,4.0
21062,13.0,0.0,0.0
20645,13.0,0.0,0.0
20662,13.0,0.0,0.0
20664,13.0,1.0,13.0
20684,13.0,0.0,0.0
21853,12.0,1.0,12.0
21662,12.0,0.0,0.0
21005,12.0,1.0,12.0
21912,12.0,0.0,0.0
21817,11.0,1.0,11.0
21918,11.0,0.0,0.0
20628,11.0,0.0,0.0
21056,11.0,0.0,0.0
21779,10.0,0.0,0.0
21160,10.0,0.0,0.0
21651,10.0,0.0,0.0
21639,10.0,0.0,0.0
21660,10.0,0.0,0.0
21635,10.0,1.0,10.0
21632,10.0,2.0,5.0
21631,10.0,0.0,0.0
21757,10.0,0.0,0.0
20658,10.0,0.0,0.0
20710,10.0,2.0,5.0
21077,9.0,1.0,9.0
21520,9.0,0.0,0.0
20617,9.0,0.0,0.0
20868,9.0,0.0,0.0
21671,8.0,0.0,0.0
21780,8.0,1.0,8.0
21714,8.0,0.0,0.0
21750,8.0,4.0,2.0
20693,8.0,0.0,0.0
20758,7.0,0.0,0.0
21837,7.0,0.0,0.0
21071,7.0,0.0,0.0
21082,7.0,0.0,0.0
21733,7.0,0.0,0.0
21657,6.0,0.0,0.0
20630,6.0,0.0,0.0
21778,6.0,1.0,6.0
21156,6.0,0.0,0.0
21822,6.0,0.0,0.0
21051,6.0,0.0,0.0
21850,6.0,0.0,0.0
20670,5.0,1.0,5.0
21762,5.0,0.0,0.0
21678,5.0,0.0,0.0
21677,5.0,0.0,0.0
20765,5.0,0.0,0.0
20621,5.0,0.0,0.0
21664,5.0,0.0,0.0
21023,5.0,0.0,0.0
20611,5.0,0.0,0.0
20692,5.0,0.0,0.0
21838,5.0,0.0,0.0
21536,5.0,2.0,2.0
21849,5.0,0.0,0.0
21914,5.0,0.0,0.0
21872,4.0,0.0,0.0
20686,4.0,2.0,2.0
21612,4.0,0.0,0.0
21711,4.0,1.0,4.0
21668,4.0,0.0,0.0
21649,4.0,0.0,0.0
20838,4.0,0.0,0.0
20606,4.0,0.0,0.0
20618,3.0,0.0,0.0
20609,3.0,0.0,0.0
20839,3.0,0.0,0.0
21856,3.0,0.0,0.0
21840,3.0,0.0,0.0
21719,3.0,0.0,0.0
20632,3.0,0.0,0.0
21402,3.0,7.0,0.0
21871,3.0,2.0,2.0
21869,3.0,3.0,1.0
21676,3.0,0.0,0.0
21645,3.0,0.0,0.0
21679,3.0,1.0,3.0
21531,3.0,3.0,1.0
20667,3.0,0.0,0.0
21874,3.0,0.0,0.0
21562,3.0,1.0,3.0
20687,3.0,0.0,0.0
21734,3.0,0.0,0.0
21652,3.0,0.0,0.0
21640,2.0,0.0,0.0
21821,2.0,0.0,0.0
21529,2.0,0.0,0.0
21634,2.0,0.0,0.0
21628,2.0,0.0,0.0
21530,2.0,3.0,1.0
21930,2.0,1.0,2.0
21624,2.0,0.0,0.0
21841,2.0,1.0,2.0
21545,2.0,0.0,0.0
21607,2.0,0.0,0.0
20629,2.0,1.0,2.0
21767,2.0,0.0,0.0
21648,2.0,0.0,0.0
21404,2.0,0.0,0.0
21766,2.0,1.0,2.0
21659,2.0,1.0,2.0
20771,2.0,0.0,0.0
21865,2.0,0.0,0.0
20612,2.0,0.0,0.0
21052,2.0,0.0,0.0
20625,2.0,0.0,0.0
20624,2.0,0.0,0.0
21717,2.0,0.0,0.0
21718,2.0,0.0,0.0
20615,2.0,0.0,0.0
21913,2.0,1.0,2.0
21610,2.0,1.0,2.0
20875,1.0,0.0,0.0
21829,1.0,0.0,0.0
21235,1.0,4.0,0.0
20898,1.0,0.0,0.0
20859,1.0,0.0,0.0
20849,1.0,0.0,0.0
20824,1.0,0.0,0.0
21010,1.0,0.0,0.0
20608,1.0,0.0,0.0
21022,1.0,0.0,0.0
21123,1.0,0.0,0.0
20680,1.0,0.0,0.0
21018,1.0,0.0,0.0
21521,1.0,0.0,0.0
21636,1.0,0.0,0.0
21647,1.0,0.0,0.0
21653,1.0,0.0,0.0
21665,1.0,0.0,0.0
20626,1.0,0.0,0.0
21667,1.0,0.0,0.0
21790,1.0,0.0,0.0
21557,1.0,0.0,0.0
21291,0.0,1.0,0.0
21324,0.0,1.0,0.0
92703,0.0,1.0,0.0
21041,0.0,1.0,0.0
20742,0.0,2.0,0.0
21864,0.0,1.0,0.0
28701,0.0,1.0,0.0
21539,0.0,1.0,0.0
21622,0.0,1.0,0.0
